Honor ID,Inscription ID,Appearances,Notes
3000,267,1,
3001,267,1,
3002,267,1,
3003,267,1,
3004,267,1,
3004,268,1,
3005,269,1,
3005,270,1,
3006,270,2,
3007,271,4,
3008,271,1,
3009,271,1,
3010,271,1,
3011,271,1,
3005,273,1,
3014,274,1,
3004,275,1,
3015,275,1,
3016,277,1,
3016,278,1,
3004,279,1,
3004,281,1,
3004,282,1,
3005,282,1,
3017,282,1,
3005,283,1,
3018,283,1,
3004,284,1,
3016,285,1,
3019,288,1,
3020,289,1,
3020,290,1,
3021,290,1,
3022,295,1,
3025,297,1,
3026,297,1,
3027,297,1,
3016,298,1,
3005,299,1,
3006,300,1,
3016,300,1,
3028,300,1,
3029,300,1,
3030,300,1,
3031,300,1,
3032,300,1,
3033,300,1,
3034,300,1,
3035,300,1,
3036,300,1,
3037,300,1,
3038,300,1,
3039,300,1,
3040,300,1,
3041,300,1,
3042,300,1,
3068,300,1,
3005,302,1,
3016,302,3,
3005,307,1,
3005,317,1,
3005,318,1,
3005,319,1,
3005,323,1,
3015,324,1,
3019,325,1,
3005,329,1,
3043,331,1,
3044,332,1,
3032,333,1,
3004,334,1,
3025,334,1,
3004,335,1,
3025,335,1,
3015,336,1,
3015,337,1,
3004,341,1,
3045,341,1,
3046,341,1,
3004,342,1,
3004,343,1,
3006,343,1,
3004,344,1,
3025,344,1,
3047,344,1,
3016,348,1,
3016,349,1,
3049,350,1,
3005,351,1,
3025,354,1,
3025,355,1,
3023,356,1,
3050,356,1,
3051,356,1,
3005,357,1,
3004,358,1,
3023,358,2,
3027,358,1,
3050,358,1,
3015,359,1,
3025,361,1,
3024,363,1,
3025,363,1,
3004,364,1,
3005,364,1,
3005,365,1,
3004,369,1,
3005,370,1,
3004,371,1,
3019,371,1,
3004,372,1,
3004,373,1,
3005,373,1,
3004,374,1,
3005,374,1,
3004,375,1,
3004,376,1,
3027,377,1,
3004,379,1,
3052,379,1,
3019,380,1,
3005,393,1,
3053,394,1,
3005,395,2,
3005,396,1,
3005,414,1,
3005,416,1,
3054,419,1,
3050,423,1,
3023,425,1,
3005,431,1,
3004,434,1,
3004,435,1,
3004,436,1,
3004,437,1,
3025,438,1,
3061,439,1,
3005,440,1,
3005,441,1,
3062,441,1,
3004,442,1,
3005,442,1,
3063,442,1,
3034,443,1,
3064,443,1,
3065,443,1,
3006,445,1,
3027,445,1,
3024,446,1,
3024,448,1,
3024,449,1,
3024,451,1,
3066,453,1,
3019,454,1,
3112,454,1,
3006,455,2,
3015,455,1,
3023,455,2,
3027,455,1,
3059,455,2,
3067,455,1,
3015,456,1,
3004,458,1,
3005,458,1,
3005,459,1,
3068,459,1,
3068,462,1,
3006,463,1,
3015,463,1,
3023,463,1,
3027,463,1,
3051,463,1,
3059,463,1,
3069,463,1,
3070,463,2,
3071,463,1,
3072,463,1,
3073,463,1,
3074,463,2,
3075,463,1,
3076,463,1,
3077,463,1,
3078,463,1,
3079,463,1,
3080,463,1,
3081,463,1,
3082,463,1,
3083,463,1,
3084,463,1,
3085,463,1,
3005,464,1,
3015,464,1,
3086,465,1,
3086,466,1,
3005,467,1,
3016,467,1,
3087,468,1,
3021,470,2,
3112,470,1,
3024,471,1,
3088,471,1,
3016,472,1,
3027,472,1,
3005,474,1,
3022,474,1,
3021,476,2,
3089,476,1,
3090,476,1,
3005,477,1,
