ID,Honor,Origin,Category,Type,Notes
3000,Kanephoros to UNC,Athens,Athenian,Sacred Official,
3001,Kanephoros to Mother of the Gods,Athens,Athenian,Sacred Official,
3002,Kanephoros to Asklepios,Athens,Athenian,Sacred Official,
3003,Kanephoros to Aphrodite Alopeke,Athens,Athenian,Sacred Official,
3006,Eponymous Archon,Athens,Athenian,Magistracy,
3007,Epimelite of Dionysiac Technitai,Athens,Athenian,Magistracy,
3008,Underwriter of Dionysiac Technitai,Athens,Athenian,Liturgy/Benefaction,
3009,Restorer of the Altar,Athens,Athenian,Liturgy/Benefaction,
3010,Khoregos,Athens,Athenian,Liturgy/Benefaction,
3011,Misc. Offices,Athens,Athenian,Magistracy,
3014,Tamias,Athens,Athenian,Magistracy,
3017,Kanephoros to Sarapis,Athens,Athenian,Sacred Official,
3018,Kanephoros to Isis,Athens,Athenian,Sacred Official,
3022,Pythokhrestos Exegete,Athens,Athenian,Sacred Official,
3023,Hoplite General,Athens,Athenian,Magistracy,
3026,Agonothete,Athens,Athenian,Liturgy/Benefaction,
3027,Herald of the Areopagus,Athens,Athenian,Magistracy,
3028,Secretary of the Demos,Athens,Athenian,Magistracy,
3029,Proedros,Athens,Athenian,Magistracy,
3032,Priest of the Graces,Athens,Athenian,Sacred Official,
3033,Priest of Artemis Epipyrgidia,Athens,Athenian,Sacred Official,
3034,Priest of the Panages,Athens,Athenian,Sacred Official,
3035,Priest of Hermes Patroos,Athens,Athenian,Sacred Official,
3036,Priest of Apollo Pythios,Athens,Athenian,Sacred Official,
3038,Priest of Zeus Horios,Athens,Athenian,Sacred Official,
3039,Priest of Athena Horios,Athens,Athenian,Sacred Official,
3040,Priest of Poseidon Prosbasterios,Athens,Athenian,Sacred Official,
3041,Priest of Poseidon Themelioukhos,Athens,Athenian,Sacred Official,
3043,Priest of Asklepios,Athens,Athenian,Sacred Official,
3045,Priest of the Demos,Athens,Athenian,Sacred Official,
3046,Priest of Sebaiste Dikaiosyne,Athens,Athenian,Sacred Official,
3047,Priest of Apollo Patroos,Athens,Athenian,Sacred Official,
3051,Agonothete of the Panathenaia,Athens,Athenian,Liturgy/Benefaction,
3053,Kanephoros to Dionysos Lenaios,Athens,Athenian,Sacred Official,
3057,Herald of the Boule and Demos,Athens,Athenian,Magistracy,
3058,Epimelite of the City,Athens,Athenian,Magistracy,
3059,Gymnasiarch,Athens,Athenian,Liturgy/Benefaction,
3060,Ambassador,Athens,Athenian,Magistracy,
3062,Periodonikos,Athens,Athenian,Membership/Status,
3063,Exegete,Athens,Athenian,Sacred Official,
3064,Priest of Zeus Palladion,Athens,Athenian,Sacred Official,
3065,Bouzyges,Athens,Athenian,Membership/Status,
3067,Agonothete of the Greater Asklepieia,Athens,Athenian,Liturgy/Benefaction,
3084,Agonothete of the Eleusinia,Athens,Athenian,Liturgy/Benefaction,
3085,Priest of Poseidon Erekhtheus,Athens,Athenian,Sacred Official,
3087,Panegyriarch,Athens,Athenian,Liturgy/Benefaction,
3092,Priest of Triptolemos,Athens,Athenian,Sacred Official,
3094,Archon,Athens,Athenian,Magistracy,
3097,Bouletikos,Athens,Athenian,Membership/Status,
3098,Priest of Daphnephoros,Athens,Athenian,Sacred Official,
3099,Priestess of Athena,Athens,Athenian,Sacred Official,
3100,Priestess of Kal[ligeneia?],Athens,Athenian,Sacred Official,
3102,Priest of the Gods and Goddesses,Athens,Athenian,Sacred Official,
3103,Priestess of Moi[ragetes?],Athens,Athenian,Sacred Official,
3105,Priest of Zeus,Athens,Athenian,Sacred Official,
3109,Archon Basileus,Athens,Athenian,Magistracy,
3114,Prytaneis,Athens,Athenian,Magistracy,
3115,Aesitoi,Athens,Athenian,Membership/Status,
3116,First Systarch of the Agones,Athens,Athenian,Liturgy/Benefaction,
3121,Priestess of Athena Polias,Athens,Athenian,Sacred Official,
3126,Euergetes,Athens,Athenian,Membership/Status,
3130,Kosmete of the Ephebes,Athens,Athenian,Magistracy,
3132,High-Priest of the Mother of the Gods in Boiotia,Athens,Athenian,Sacred Official,
3135,Semnotatos (Areopagite),Athens,Athenian,Membership/Status,
3012,Basileus of Cappadocia,Cappadocia,Greek,Membership/Status,
3013,Basilissa of Cappadocia,Cappadocia,Greek,Membership/Status,
3004,Priestess of Demeter and Kore,Eleusis,Eleusinian,Sacred Official,
3005,Heath-Initiate,Eleusis,Eleusinian,Membership/Status,
3015,Exegete of Eumolpidai,Eleusis,Eleusinian,Sacred Official,
3016,Daduch,Eleusis,Eleusinian,Sacred Official,
3019,Hierophantis,Eleusis,Eleusinian,Sacred Official,
3030,Altar-Priest,Eleusis,Eleusinian,Sacred Official,
3031,Pyrphoros,Eleusis,Eleusinian,Sacred Official,
3037,Stone-bearer,Eleusis,Eleusinian,Sacred Official,
3042,Hymnagogos,Eleusis,Eleusinian,Sacred Official,
3049,Eumolpid,Eleusis,Eleusinian,Membership/Status,
3052,Philleid,Eleusis,Eleusinian,Membership/Status,
3068,Hierokeryx,Eleusis,Eleusinian,Sacred Official,
3086,Hierophant,Eleusis,Eleusinian,Sacred Official,
3101,Archon of the Eumolpidai,Eleusis,Eleusinian,Private Office,
3104,Phaidyntes,Eleusis,Eleusinian,Sacred Official,
3106,Iakhkhagogos,Eleusis,Eleusinian,Sacred Official,
3110,Archon of the Kerykes,Eleusis,Eleusinian,Private Office,
3112,Initiate,Eleusis,Eleusinian,Membership/Status,
3113,Epoptes,Eleusis,Eleusinian,Membership/Status,
3120,Victor in the Eleusina,Eleusis,Eleusinian,Membership/Status,
3069,Ephesian Agonothete,Ephesus,Greek,Liturgy/Benefaction,
3070,Secretary of Ephesian Demos,Ephesus,Greek,Magistracy,
3071,Ephesian Ambassador,Ephesus,Greek,Magistracy,
3073,Neopoios of Artemis,Ephesus,Greek,Sacred Official,
3074,Ephesian Prytaneis,Ephesus,Greek,Magistracy,
3075,Ephesian Agoronomos,Ephesus,Greek,Magistracy,
3076,Ephesian Gymnasiarch,Ephesus,Greek,Liturgy/Benefaction,
3128,Phoinikrarchos (Provincial Assembly of Syria),Hierapolis,Greek,Magistracy,
3117,Priest of Zeus Olympios,Olympia,Greek,Sacred Official,
3118,Priest of Dionysos Eleuthereus,Olympia,Greek,Sacred Official,
3119,Agonothete of Olympeia,Olympia,Greek,Liturgy/Benefaction,
3127,Phaidyntes in Olympia,Olympia,Greek,Sacred Official,
3066,Divine Panhellenios,Other,Panhellenic,Membership/Status,
3111,Panhellene,Other,Panhellnic,Membership/Status,
3020,Imperator (Republican),Rome,Roman,Membership/Status,
3021,Consul,Rome,Roman,Magistracy,
3024,Emperor,Rome,Roman,Membership/Status,
3025,Imperial Priest,Rome,Roman,Sacred Official,
3044,Priest of the Rome Senate and People,Rome,Roman,Sacred Official,
3048,Proconsul,Rome,Roman,Magistracy,
3050,Agonothete of the Megaloi Kaisareoi Sebastoi,Rome,Roman,Liturgy/Benefaction,
3054,Propraetor,Rome,Roman,Magistracy,
3055,Praefectus Fabrum,Rome,Roman,Magistracy,
3056,Praetectus Cohortis II Hispanorum,Rome,Roman,Magistracy,
3061,Equestrian or Senatorial Rank (Kratistos),Rome,Roman,Membership/Status,
3072,Imperial Priest of Asia,Rome,Roman,Sacred Official,
3077,Senatorial Rank (Synkletikos),Rome,Roman,Membership/Status,
3078,Military Tribune (Khiliarkhos),Rome,Roman,Magistracy,
3079,Decemvir,Rome,Roman,Magistracy,
3080,Quaestor,Rome,Roman,Magistracy,
3081,Plebeian Tribune,Rome,Roman,Magistracy,
3082,Praetor,Rome,Roman,Magistracy,
3083,Governor,Rome,Roman,Magistracy,
3088,Imperial Priest of Achaea,Rome,Roman,Sacred Official,
3089,Pontifex,Rome,Roman,Sacred Official,
3090,XV Vir Sacris Faciundis,Rome,Roman,Sacred Official,
3093,Praefectus Equitum(?),Rome,Roman,Magistracy,
3095,Ambassador to Antoninus,Rome,Roman,Magistracy,
3096,Asiarch,Rome,Roman,Magistracy,
3123,Procurator Fisci Asiatici,Rome,Roman,Magistracy,
3125,Necessarius,Rome,Roman,Membership/Status,
3131,[?] of the [?] Legion,Rome,Roman,Magistracy,
3133,Clarissimus (Lamprotatos),Rome,Roman,Membership/Status,
3134,Agonothete of the Hadrianeia,Rome,Roman,Liturgy/Benefaction,
3136,Pontifex Maximus,Rome,Roman,Sacred Official,
3137,Pater Patriae,Rome,Roman,Membership/Status,
3138,Tribunicia Postestas,Rome,Roman,Membership/Status,
3139,Mater Castrorum,Rome,Roman,Membership/Status,
3091,Son of Greece',Other,Other,Membership/Status,
3107,Archon of the Panhellenion,Other,Other,Private Office,
3108,Sophist,Other,Other,Membership/Status,
3122,Archon of the Sacred Gerousia,Other,Other,Sacred Official,
3124,Sophistic Chair,Other,Other,Membership/Status,
3129,Rhetor,Other,Other,Membership/Status,
