ID,Inscription ID,Feature,Uncertain,Notes
1,267,Coronae or Bucrania,,
2,267,Outer Courtyard,,
3,269,Emphasis with Interpunct or Vacat,,
4,270,Bronze Cuttings,,
5,271,Emphasis with Interpunct or Vacat,,
6,271,Altered or Recut,,
7,274,Coronae or Bucrania,,
8,275,Emphasis with Interpunct or Vacat,,
9,275,Bronze Cuttings,,
10,275,Path to Telesterion,,
11,276,No Abbreviation,,
12,276,Missing,,
13,277,Office(s) of Relative(s),,
14,277,Removed from Site,,
15,278,Office(s) of Relative(s),,
16,278,Missing,,
17,279,"At Site, Moved in Modernity",,
18,280,Between Propylaea,,
19,282,Coronae or Bucrania,,
20,282,Child Size Cuttings,,
21,282,Between Propylaea,,
22,283,Coronae or Bucrania,,
23,283,Southern Wall,,
24,286,Full Size Cuttings,,
25,286,Between Propylaea,,
26,287,No Abbreviation,,
27,287,Emphasis with Interpunct or Vacat,,
28,288,Bronze Cuttings,,
29,288,Missing,,
30,289,No Abbreviation,,
31,289,Southern Wall,,
32,290,Between Propylaea,,
33,292,No Abbreviation,,
34,292,Bronze Cuttings,,
35,293,No Abbreviation,,
36,293,Emphasis with Interpunct or Vacat,,
37,293,Between Propylaea,,
38,294,Southern Wall,,
39,295,"At Site, Moved in Modernity",,
40,300,Office(s) of Relative(s),,
41,300,Beyond Immediate Family,,
42,300,Filiation Symbol or Nomina Suprabar,,
43,304,"At Site, Moved in Modernity",,
44,308,Bronze Cuttings,,
45,317,Missing,,
46,320,Filiation Symbol or Nomina Suprabar,,
47,324,Front of Telesterion,,
48,324,"At Site, Moved in Modernity",,
49,325,Missing,,
50,326,Outer Courtyard,,
51,327,Bronze Cuttings,,
52,327,Outer Courtyard,,
53,328,Relief,,
54,329,Removed from Site,,
55,331,No Abbreviation,,
56,332,No Abbreviation,,
57,333,Full Size Cuttings,,
58,333,Bronze Cuttings,,
59,333,Front of Telesterion,,
60,333,"At Site, Moved in Modernity",,
61,334,No Abbreviation,,
62,334,Emphasis with Interpunct or Vacat,,
63,334,"At Site, Moved in Modernity",,
64,335,Adoptive and Natural Parents Recorded,,
65,335,No Abbreviation,,
66,335,Emphasis with Interpunct or Vacat,,
67,336,No Abbreviation,,
68,337,Missing,,
69,338,No Abbreviation,,
70,341,Adoptive and Natural Parents Recorded,,
71,341,"At Site, Moved in Modernity",,
72,342,Adoptive and Natural Parents Recorded,,
73,342,Altered or Recut,,
74,344,No Abbreviation,,
75,344,Front of Telesterion,,
76,344,"At Site, Moved in Modernity",,
77,345,No Abbreviation,,
78,345,Missing,,
79,348,Office(s) of Relative(s),,
80,349,Office(s) of Relative(s),,
81,349,Front of Telesterion,,
82,349,Missing,,
83,350,No Abbreviation,,
84,352,Standard Abbreviation,,
85,352,Filiation Symbol or Nomina Suprabar,,
86,352,Less than Life Size Cuttings,,
87,352,Front of Telesterion,,
88,352,"At Site, Moved in Modernity",,
89,353,No Abbreviation,,
