ID,Inscription,Date,Date Strength,Inscription Type,Object Type,Altered,Visuals,Text Format,Sponsor Type,Honorand Type
1,"Jumping Weight, Dedic. by Epainetos",-560,Good,Dedication,Other/Fragment,Modern,,Boustrophedon,Private,
2,Dedication,-550,Approximate,Dedication,Other/Fragment,Late Archaic,,Standard,,
3,Racepost Dedic. by Alkiphron,-550,Approximate,Dedication,Other/Fragment,Modern,,Mix of Styles,Private,
4,Dedicatory Basin,-500,Approximate,Dedication,Other/Fragment,,,Standard,,
5,Dedicatory Basin,-500,Approximate,Dedication,Other/Fragment,,,Standard,,
6,Discus Dedic. by Aisimides,-510,Approximate,Dedication,Other/Fragment,,,Standard,Private,
7,Sacred Law on the Mysteries. City Eleusinion Copy,-505,Good,Edict/Regulation,Base,,,Boustrophedon,,
8,Fragment,-550,Poor,Other/Fragment,Other/Fragment,,,Standard,,
9,Fragment,-450,Poor,Other/Fragment,Other/Fragment,,,Standard,,
10,Dedic. by Aristodamos of Metapontnum,-500,Approximate,Dedication,Base,,,Standard,Other,
11,Dedic. by Lochios,-500,Approximate,Dedication,Column/Herm,,,Standard,Private,
12,Dedication,-500,Approximate,Dedication,Column/Herm,,,Standard,,
13,Decree Concerning Sacrifices,-475,Approximate,Edict/Regulation,Base,,,Standard,Public Organ(s),
14,Dedication,-490,Good,Dedication,Column/Herm,UNC,,Retrograde,,
15,Dedicatory Basin,-490,Approximate,Dedication,Other/Fragment,,,Standard,,
16,Dedicatory Basin,-480,Weak,Dedication,Other/Fragment,,,Retrograde,,
17,Dedicatory Base,-480,Weak,Dedication,Base,,,Standard,,
18,Dedication,-475,Approximate,Dedication,Column/Herm,,,Standard,Private,
19,"Law Concerning the Eleusinian Sanctuary, City Eleusinion Copy",-465,Approximate,Edict/Regulation,Column/Herm,UNC,,Stoichedon,,
20,Dedication,-450,Approximate,Dedication,Other/Fragment,,,Standard,,
21,Decree or Law,-450,Weak,Decree,Stele,,,Stoichedon,,
22,Law or Decree,-450,Weak,Decree,Stele,,,Stoichedon,,
23,Account,-445,Good,Financial,Stele,,,Stoichedon,,
24,Inventory or Account,-440,Good,Financial,Stele,,,Stoichedon,,
25,Account?,-430,Weak,Financial,Other/Fragment,,,Stoichedon,,
26,Dedication,-407,Good,Dedication,Column/Herm,,,Stoichedon,,
27,Account of Construction,-437,Approximate,Financial,Stele,,,Stoichedon,,
28a,"Decree/Syngraphe, Eleusis Copy",-437,Good,Decree,Stele,,,Stoichedon,Public Organ(s),
28b,"Decree/Syngraphe, Eleusinion Copy",-437,Good,Decree,Stele,,,Stoichedon,Public Organ(s),
29,Account or Inventory,-435,Good,Financial,Stele,,,Standard,,
30,Amendment Concerning the Epistatai of Eleusis,-432,Good,Decree,Stele,,,Stoichedon,Public Organ(s),
31,Decree,-430,Good,Decree,Stele,,,Stoichedon,,
32,Inventory,-427,Good,Financial,Stele,,,Standard,,
33,Inventory,-427,Good,Financial,Stele,,,Standard,,
34,Account,-427,Good,Financial,Stele,,,Stoichedon,,
35,Account,-427,Good,Financial,Stele,,,Stoichedon,,
36,Account,-427,Good,Financial,Stele,,,Stoichedon,,
37,Account,-427,Good,Financial,Stele,Christian Period,,Stoichedon,,
38,Account,-425,Good,Financial,Stele,,,Stoichedon,,
39,Dedication by a Hipparch,-420,Good,Dedication,Stele,Byzantine Period,Relief (Equestian and Infantry Battle),Standard,Private,Divinity
40,Fragment,-412,Approximate,Other/Fragment,Other/Fragment,,,Stoichedon,,
41,Decree Concerning Bridge of Rheitos,-420,Good,Decree,Stele,Roman Period,"Relief (Demeter, Kore, Eumolpos, and Athena)",Stoichedon,Public Organ(s),
42,Account,-420,Good,Financial,Stele,,,Stoichedon,,
43,Account-Inventory,-417,Approximate,Financial,Stele,,,Standard,,
44,Dedication by Platthis,-420,Approximate,Dedication,Stele,,"Relief (Kore with Torch, Demeter with Scepter, & Throne(?))",Standard,Private,
45,Four-year Account of First Fruits,-419,Good,Financial,Stele,,,Stoichedon,,
46,Account-Inventory,-418,Good,Financial,Stele,,,Stoichedon,,
47,Account-Inventory,-417,Good,Financial,Stele,,,Stoichedon,,
48,Account-Inventory,-416,Good,Financial,Stele,,,Stoichedon,,
49,Dedication?,-412,Good,Other/Fragment,Base,,,Stoichedon,,
50,Account-Inventory,-413,Good,Financial,Stele,,,Stoichedon,,
51,Dedication,-410,Good,Dedication,Other/Fragment,,,Standard,,
52,Account-Inventory,-408,Good,Financial,Stele,,,Standard,Other,
53,Choregic Dedication,-402,Approximate,Dedication,Base,,,Standard,Private,
54,"Dedication by Kydeides Kydistratou Periaieus, Victory in the Greater Eleusinia",-375,Approximate,Dedication,Column/Herm,,,Stoichedon,Private,
55,Dedication,-380,Approximate,Dedication,Base,,,Standard,Public Organ(s),
56,Dedication,-380,Approximate,Dedication,Base,,,Standard,Private,Divinity
57,Statue Base Dedicated by Kekropia Daughter of Kallias,-375,Approximate,Dedication,Base,,,Standard,Private,Divinity
58,Statue Base Dedicated by Diophantos Chairephanous Eleusinios,-375,Weak,Dedication,Base,,,Standard,Private,Divinity
59,"Statue Base for Isocrates the Orator, Dedicated by Timotheos Kononos",-360,Approximate,Dedication,Base,,,Standard,Private,Other/Private
60,Comic Verse,-360,Approximate,Other/Fragment,Other/Fragment,,,Standard,,
61,Dedicatory Stele,-357,Good,Dedication,Stele,,Relief (Barely Visible),Stoichedon,Private,Divinity
62,Dedication,-357,Good,Dedication,Other/Fragment,,,Stoichedon,Private,Divinity
63,Decree of Hippothontis NOT FROM THE SANCTUARY OF DEMETER AND KORE,-360,Approximate,Decree,Stele,,Olive Branch Below Molding,Standard,Other,
64,"Dedicatory Plaque by [.]los Promachou Eleusinios, Victory in the Synoris",-360,Approximate,Dedication,Other/Fragment,,,Standard,Private,
