"ID","IE","Inscription","Object Type","Inscription Type","Location","Low Date","High Date","Date","Date Span","Low Date Uncertain","High Date Uncertain","Notes"
"267","267","Statue Base for an Unknown Kanephoros","Base","Dedication","Outer Courtyard","-100","-75","-87.5","25","FALSE","FALSE",""
"268","268","Statue Base for Ameinokleia Philanthou Phylasiou","Base","Dedication","","-100","-75","-87.5","25","FALSE","FALSE",""
"269","269","Statue Base for an Unknown Hearth-Initiate","Base","Dedication","","-100","-75","-87.5","25","TRUE","TRUE",""
"270","270","Statue Base for Epiphaneia, Daughter of Athenagoras Meliteus","Base","Dedication","","-90","-80","-85","10","FALSE","FALSE",""
"271","271","Honorary Decree of the Synod of Dionysiac Artists in Honor of their Epimelete Philemon","Base","Decree","","-76","-70","-73","6","FALSE","FALSE",""
"684","272","Statue Base for Eusebeia, Daughter of King Ariobarzanes II of Cappadocia","Base","Dedication","","-75","-65","-70","10","TRUE","FALSE",""
"685","272","Statue Base for Athenais, Daughter of King Ariobarzanes II of Cappadocia","Base","Dedication","","-75","-65","-70","10","TRUE","FALSE",""
"686","272","Statue Base for Athenais, Daughter of King Ariobarzanes I of Cappadocia","Base","Dedication","","-75","-65","-70","10","TRUE","FALSE",""
"687","272","Statue Base for King Ariobarzanes II, Son of King Ariobarzanes I, of Cappadocia","Base","Dedication","","-75","-65","-70","10","TRUE","FALSE",""
"273","273","Statue Base for Timothea, Daughter of Medeios Medeiou Peiraieus","Stele","Dedication","","-75","-65","-70","10","FALSE","FALSE",""
"274","274","Dedication in Honor of a Tamias","Base","Dedication","","-62","-61","-61.5","1","FALSE","FALSE",""
"275","275","Statue Base for Medeios Medeiou Peiraieus, Exegete of the Eumolpidai","Base","Dedication","North of the Telesterion","-65","-55","-60","10","FALSE","FALSE",""
"276","276","Statue Base for Titus Pinarius","Base","Dedication","","-55","-45","-50","10","FALSE","FALSE",""
"277","277","Statue Base for Sophokles Xenokleous Acharneus, Daduch","Base","Dedication","","-60","-40","-50","20","FALSE","FALSE",""
"278","278","Statue Base for Sophokles Xenokleous Acharneus, Daduch","Base","Dedication","","-60","-40","-50","20","FALSE","FALSE",""
"279","279","Statue Base for Unknown","Base","Dedication","","-60","-40","-50","20","FALSE","FALSE",""
"280","280","Statue Base for Kleo, Daughter of Dionysios Lakrateidou Ikarieus","Base","Dedication","Between the Propylaea","-60","-40","-50","20","FALSE","FALSE",""
"281","281","Statue Base for Unknown","Base","Dedication","","-60","-40","-50","20","FALSE","FALSE",""
"282","282","Statue Base for Unknown Hearth-Initiate","Stele","Dedication","Between the Propylaea","-60","-40","-50","20","TRUE","TRUE",""
"283","283","Statue Base for an Unknown Hearth-Initiate","Base","Dedication","Between the Propylaea","-60","-40","-50","20","TRUE","TRUE",""
"284","284","Statue Base for Unknown","Base","Dedication","","-60","-40","-50","20","TRUE","FALSE",""
"285","285","Statue Base for an Unknown Daduch of Hagnous","Base","Dedication","","-50","-30","-40","20","FALSE","FALSE",""
"286","286","Statue Base for Dionysios Athenagorou Meliteus","Base","Dedication","Between the Propylaea","-50","-25","-37.5","25","FALSE","FALSE",""
"287","287","Statue Base for Aion","Base","Dedication","","-50","-15","-32.5","35","FALSE","TRUE",""
"288","288","State Base for Hierophantis Amphiou Philadou","Base","Dedication","","-50","-15","-32.5","35","FALSE","FALSE",""
"289","289","Statue Base for Lucius Munatius Plancus","Base","Dedication","South Wall","-41","-31","-36","10","FALSE","FALSE",""
"290","290","Propylon Dedicated by Appius Claudius Pulcher","Base","Dedication","Between the Propylaea","-45","-35","-40","10","FALSE","FALSE",""
"675","291","Statue Base of Phaidros Lysiadrou Berenikides, Dedicated by his Daughter Khrysothemis Phaidrou Berenikides","Base","Dedication","","-45","-35","-40","10","FALSE","FALSE",""
"676","291","Statue Base of Q. Caecilius Pomponianus Atticus, Dedicated by Khrysothemis Phaidrou Berenikides","Base","Dedication","","-45","-35","-40","10","FALSE","FALSE",""
"677","291","Statue Base for Lysiades Phaidrou Berenikides, Dedicated by the Demos","Base","Dedication","","-45","-35","-40","10","FALSE","FALSE",""
"678","291","Statue Base for Khrysothemis Phaidrou Berenikides, Dedicated by the Demos","Base","Dedication","","-45","-35","-40","10","FALSE","FALSE",""
"292","292","Statue Base for Sempronia L.F. Atratina","Base","Dedication","","-45","-34","-39.5","11","FALSE","FALSE",""
"293","293","Bench Deadicted by Caius Creperius C.F.","Base","Dedication","","-45","-35","-40","10","TRUE","TRUE",""
"294","294","Statue Base for Marcus Titius L.F.","Base","Dedication","Between the Propylaea","-40","-30","-35","10","FALSE","TRUE",""
"295","295","Statue Base for Kallikratides Syndromou Trikorysios, Hoplite General","Base","Dedication","South Wall","-35","-30","-32.5","5","FALSE","TRUE",""
"703","296","Livia Drousilla, Wife of the Emperor Augustus Caesar","Building or Monument","Dedication","","-31","-21","-26","10","FALSE","FALSE",""
"704","296","Statue Base for the Emperor Augustus Caesar, Son of the Divine Iulius, Dedicated by the Demos","Building or Monument","Dedication","","-31","-21","-26","10","FALSE","FALSE",""
"297","297","Statue Base for Augustus Caesar as Zeus Boulaios","Base","Dedication","","-27","-17","-22","10","FALSE","FALSE",""
"298","298","Statue Base for Theophrastos Themistokleous Hagnousios, Daduch","Base","Dedication","","-30","-20","-25","10","TRUE","TRUE",""
"299","299","Statue Base for Lamidion. Daughter of Apolexis Ex Oiou, Hearth-Initiate","Base","Dedication","","-30","-20","-25","10","TRUE","TRUE",""
"300","300","Honorary Decree for Themistokles Theophrastou Hagnousios","Base","Decree","","-30","-20","-25","10","FALSE","FALSE",""
"679","301","Statue Base for the Daduch Theophrastos, son of the Daduch Themistokles of Hagnousios, Dedicated by the Demos","Base","Dedication","","-25","-15","-20","10","FALSE","FALSE",""
"680","301","Statue Base for the Daduch Themistokles, Son of the Daduch Themistokles, Dedicated by the Demos","Base","Dedication","","-25","-15","-20","10","FALSE","FALSE",""
"681","301","Statue Base Sophokles, Son of Theophrastos, of Hagnous","Base","Dedication","","-25","-15","-20","10","FALSE","FALSE",""
"302","302","Statue Base for an Unknown Hearth-Initiate, son of Themistokles Hagnousios","Base","Dedication","Before the Telestrion","-25","-1","-13","24","FALSE","FALSE",""
"303","303","Statue Base For Unknown","Building or Monument","Dedication","","-25","-1","-13","24","TRUE","TRUE",""
"304","304","Statue Base Signed by Antiochos, son of Demetrios of Antioch","Building or Monument","Other/Uncertain","","-25","-1","-13","24","TRUE","TRUE",""
"305","305","Statue Base for Polyainos Nikandrou Sounieus","Base","Dedication","","-25","-1","-13","24","FALSE","FALSE",""
"306","306","Altar for Kourotrophos, Dedicated by Theophile","Other/Fragment","Dedication","","-100","-1","-50.5","99","TRUE","TRUE",""
"307","307","Statue Base for Diotima, Hearth-Initiate","Base","Dedication","","-100","-1","-50.5","99","TRUE","TRUE",""
"308","308","Statue Base for Diodotos Kalliphontos Pamotades","Base","Dedication","","-100","-1","-50.5","99","TRUE","TRUE",""
