ID,Institution,Origin,Type,Category,Notes
1000,Areopagus,Athens,Public,Athenian,
1001,Boule,Athens,Public,Athenian,
1002,Demos,Athens,Public,Athenian,
1003,Tribe of Antiochis,Athens,Public,Athenian,
1004,Dionysiac Technitai,Athens,Private,Athenian,
1005,Sophiai,Other,Private,Other,
1006,Philoi,Other,Private,Other,
1007,Xenoi,Other,Private,Other,
1008,Samian Haloa,Samos,Public,Greek,
1009,Boule of Korinth,Corinth,Public,Greek,
1010,Samian Demos,Samos,Public,Greek,
1011,Areopagus of Ephesus,Ephesus,Public,Greek,
1012,Panhellenes,Other,Public,Panhellenic,
1013,Sacred Gerousia,Other,Public,Panhellenic,
1014,Ephebes,Athens,Public,Athenian,
1015,Eumolpidai,Eleusis,Genos,Eleusinian,
1016,Kerykes,Eleusis,Genos,Eleusinian,
1017,Lykomidai,Athens,Genos,Athenian,
1018,Philleidai,Eleusis,Genos,Eleusinian,
1019,Bouzygai,Athens,Genos,Athenian,
1020,Praxiergidai,Athens,Genos,Athenian,
1021,Imperial Family,Rome,Private,Roman,
1022,SPQR,Rome,Public,Roman,
1023,Eteoboutadai,Athens,Genos,Athenian,
1024,Samian Boule,Samos,Public,Greek,
