ID,Raw Text,Text,Lemmata,Character Count,Word Count
267,"[— — — — — — — — — — — — — — —]
col. I
{²in corona:}²
[ἡ βουλὴ]
[ὁ δῆμος]
[κανηφο]-
[ρήσασαν]
[— — —]
[․]Σ̣ v[   ]

{²in corona:}²
ἡ βουλὴ
ὁ δῆμος
κανηφο-
ρήσασαν
Ἀσκληπι-
ῶ%⁸⁰ι

col. II
{²in corona:}²
ἡ [βουλὴ]
ὁ δῆμ[ος]
κανηφορή-
σασαν Μη-
τ[ρ]ὶ θεῶν

{²in corona:}²
ἡ βουλὴ
ὁ δῆμος
κανηφορήσα-
σαν Ἀφρο-
<⁶¹δίτηι>⁶¹ Ἀλω-
πεκῆσι
ἐπὶ ἱ[ερείας]
Ἀμεινοκλείας τῆς Φιλ̣[άνθου Φυλασίου θυγατρός].
{²corona}²",ἡ βουλὴ ὁ δῆμος κανηφορήσασαν Σ ἡ βουλὴ ὁ δῆμος κανηφο ρήσασαν Ἀσκληπιῶι ἡ βουλὴ ὁ δῆμος κανηφορήσασαν Μητρὶ θεῶν ἡ βουλὴ ὁ δῆμος κανηφορήσασαν Ἀφροδίτηι Ἀλωπεκῆσι ἐπὶ ἱερείας Ἀμεινοκλείας τῆς Φιλάνθου Φυλασίου θυγατρός,ὁ βουλὴ ὁ δῆμος κανηφορήσασαν σ ὁ βουλὴ ὁ δῆμος κανηφο ρήσασαν ἀσκληπιῶι ὁ βουλὴ ὁ δῆμος κανηφορήσασαν μητρὶ θεάω ὁ βουλὴ ὁ δῆμος κανηφορήσασαν ἀφροδίτη ἀλωπεκῆσι ἐπὶ ἱέρεια ἀμεινοκλείας ὁ φιλάνθου φυλάσιος θυγάτηρ,186,34
268,"ἱέρειαν Δήμητρος καὶ Κ̣[όρης Ἀμεινόκλειαν]
Φιλάνθου Φυλασίο[υ θυγατέρα οἱ υἱοὶ]
Θεόφιλος καὶ Φιλάνθη[ς καὶ Διοπείθης]
καὶ ἡ θυγάτηρ Εὐρ[υδίκη].",ἱέρειαν Δήμητρος καὶ Κόρης Ἀμεινόκλειαν Φιλάνθου Φυλασίου θυγατέρα οἱ υἱοὶ Θεόφιλος καὶ Φιλάνθης καὶ Διοπείθης καὶ ἡ θυγάτηρ Εὐρυδίκη,ἱέρεια δημήτηρ καὶ κόρη ἀμεινόκλειαν φιλάνθου φυλάσιος θυγάτηρ ὁ υἱοὶ θεόφιλος καὶ φιλάνθης καὶ διοπείθης καὶ ὁ θυγάτηρ εὐρυδίκη,115,19
269,"[— — — — —]ρίδου̣ [Δεκελεέως]
[θυγατέρ]α̣ v ὁ πατ̣[ὴρ — —ρίδης — —]
[— — Δεκ]ελεεὺ[ς καὶ ἡ μήτηρ — — —]
[— — Μο]σ̣χίωνος [demoticum θυγάτηρ]
[ἀφ’ ἑσ]τίας μ[υηθεῖσαν]
[Δήμητρι] καὶ Κόρ[ηι ἀνέθηκαν].",ρίδου Δεκελεέως θυγατέρα ὁ πατὴρ ρίδης Δεκελεεὺς καὶ ἡ μήτηρ Μοσχίωνος θυγάτηρ ἀφ ἑστίας μυηθεῖσαν Δήμητρι καὶ Κόρηι ἀνέθηκαν,ρίδου δεκελεέως θυγάτηρ ὁ πατὴρ ρίδης δεκελεεὺς καὶ ὁ μήτηρ μοσχίων θυγάτηρ ἀφ ἑστιάω μυάω δήμητρι καὶ κόρη ἀνατίθημι,107,19
270,"Διονύσιος v Διονυσίου Σφήτ[τιος]
καὶ Ἐπιφάνεια Ἑρμολύκου Μαραθωνίο[υ]
θυγάτηρ v Ἐπιφάνειαν v Ἀθηναγόρου
Μελιτέως θυγατέρα τὴν ἑαυτῶν θυγα-
τριδῆν μυηθεῖσαν ἀφ’ ἑστίας Δήμητρι καὶ
Κόρηι ἀνέθηκαν.",Διονύσιος Διονυσίου Σφήττιος καὶ Ἐπιφάνεια Ἑρμολύκου Μαραθωνίου θυγάτηρ Ἐπιφάνειαν Ἀθηναγόρου Μελιτέως θυγατέρα τὴν ἑαυτῶν θυγα τριδῆν μυηθεῖσαν ἀφ ἑστίας Δήμητρι καὶ Κόρηι ἀνέθηκαν,διονύσιος διονύσιος σφήττιος καὶ ἐπιφάνεια ἑρμόλυκος μαραθώνιος θυγάτηρ ἐπιφαίνω ἀθηναγόρης μελιτεύς θυγάτηρ τὴν ἑαυτοῦ θυγα τριδῆν μυάω ἀφ ἑστιάω δήμητρι καὶ κόρη ἀνατίθημι,159,23
271,"[— — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — — —]
[— — — — — — τῆι πόλει] τ̣ῆι Ἀθηναίων π̣ερ[ι — — — — — — — — — — — — — — —]
[— — — — — — — — —]․νδιων ἀπαλλαγέντ̣ε̣ς το[— — — — — — — — — — — —]
[— — — — — — — — ἄν]θ̣ρωποι διεξαγωγὴν τῶν μ̣ὲν [— — — — — — — — — — —]
[— — — — — παράδ]ο̣σιν ἐποιήσατο, θυσίας δὲ καὶ μυστή̣ρια κ[αὶ — — — — — — —]
[καὶ ἀγῶνας θυμελ]ι̣κούς τε καὶ σκηνικοὺς αὐτὸς ἐπιτελεῖν ἐψ̣η̣[φίσατο ․․․c.7․․․․]
[․․․․c.8․․․․ καὶ ἡ σύ]ν̣οδος τῶν περὶ τὸν Διόνυσον τεχνιτῶν διὰ παντὸ[ς — — c.13 — —]
[․․․6․․․ αὐτ]ῶι συναύξουσα καθ’ ὅσον ἐστὶ δυνατὴ τάς τε θυσίας καὶ τἄλλα πάντα τ̣ὰ̣ [ἐ]ψη[φ]-
[ισμένα ὑ]π’ αὐτ[οῦ] τοῖς τε θεοῖς καὶ τοῖς εὐεργέταις τίμια ἐψηφίσατο καὶ αὐτὴ θύε[ιν]
[καὶ σπένδ]ειν τῆι  Δήμητρι καὶ τῆι Κόρηι ταῖς μυστηριώτισιν ἡμέραις καὶ βωμὸν ἱδρυσ[αμ]-
[ένη καὶ] τέμενος κατασκευάσασα ἐν Ἐλευσῖνι σπονδὰς καὶ παιᾶνας ἐπιτελεῖ<ν>· ὧν ἐπισχ̣-
[εθέντ]ω̣ν ἐπὶ ἔτη καὶ πλείονα καὶ τοῦ τε βωμοῦ καὶ τοῦ τεμένους ἀναιρε-
[θέντ]ο̣ς διὰ τὴν κοινὴν περίστασιν v Φιλήμων ἐπιμελητὴς τὸ [τρ]ίτ̣-
[ον γ]ενόμενος ἐν τῶι ἐπὶ Αἰσχραίου ἄρχοντος ἐνιαυτῶι ἀνεκτ[ή]σ̣α̣-
[το τὰς] πατρίους ταῖς θεαῖς θυσίας καὶ πρῶτος αὐτὸς θύσας [ἐ]ν Ἐ-
[λευσ]ῖνι τῆι Δήμητρι καὶ τῆι Κόρηι καὶ τὴν λοιπὴν δαπάνην καὶ χορη-
[γίαν] ἐπιδεξάμενος ὑπεδέξατο τὴν σύνοδον ἐκ τῶν ἰδίων, v
[προσ]εμέρισεν δὲ καὶ ἐκ τῶν κοινῶν εἰς ἄλλας ἡμέρας δύο καὶ ἐμ
[πάσ]αις καλλιερήσας ταῖς ἡμέραις τὰς ἐψηφισμένας ὑπὸ τῶν πατέ%⁸⁰-
[ρων] σπονδὰς καὶ ἐπιχύσεις καὶ παιᾶνας ταῖς θεαῖς ἐπετέλεσεν,
[ὧ]ν ἀσμένως οἱ τεχνῖται λαβόντες ἀνάμνησιν παρεκάλεσαν
[α]ὐτὸν καὶ προετρέψαντο μετὰ πάσης προθυμίας προνοηθῆναι καὶ
τῆς τοῦ τεμένους κατασκευῆς ὅπως ἐπὶ τῆς πατρώιας ἑστίας ἀ̣νε[μ]-
ποδίστως κατ’ ἐνιαυτὸν ἐπιτελῶσιν τὰς θυσίας, ὁ δὲ καὶ διὰ τὴ[ν]
πρὸς τὰς θεὰς εὐσέβειαν καὶ διὰ τὴν πρὸς τοὺς τεχνίτας ἀνυπέρθε-
τον εὔνοιαν διὰ τῆς ἰδίας ἐπιμελεία̣ς ἐξ ὧν ἀνεῦρεν αὐτὸς τῆι v
συνόδωι προσόδων τὴν κατασκευὴν τοῦ τεμένους ἐποιήσατο v
καὶ τὸν ἀνειρημένον ὑπὸ τῆς περιστάσεως βωμὸν αὐτὸς πάλιν κα-
θιδρύσατο, προενοήθη δὲ ἐκτενῶς καὶ τῆς τῶν κοινῶν ἐμ πᾶσιν ἐπα-
νορθώσεως καὶ τὸν κύκλον τῶν δανείων μεταπαρέδωκεν ἐκβαί%⁸⁰%⁸⁰-
νων ἐκ τῶν ἐπιμελειτειῶν πολλοῖς ἐπευξημένον χρήμασιν, ὥστε
μὴ μόνον εἰς [ἃ]ς ἀνενεώσατο τῆι Δήμητρι καὶ τῆι Κόρηι θυσίας, ἀλλὰ καὶ
ε̣ἰς ἑτέρας πλείονας διὰ τὴν τούτου σπουδὴν γεγονέναι τῆι συνόδωι
προσόδους· βιασαμένων δὲ αὐτὸν τῶν τεχνιτῶν πάλιν τὸ τέταρτον
ὑπομεῖναι ἐπιμελητὴν εἰς τὸν ἐπὶ Σελεύκου ἄρχοντος ἐνιαυ-
τὸν πρὸς ταῖς λοιπαῖς εἰσφοραῖς καὶ χορηγίαις καὶ ἐν Ἐλευσῖνι θύσας
ἔν τε τῶι ἱερῶι καὶ ἐν ὧι πρῶτος αὐτὸς κατεσκευάσατο τεμένει ἐφ’ οὗ
ἱδρύσατο βωμοῦ τά τε θύματα καὶ τὴν λοιπὴν χορηγίαν πᾶσαν ἐπιδεξά-
μενος ὑπεδέξατο τὴν σύνοδον ἐκ τῶν ἰδίων μεγαλομερῶς, προσε̣-
μέρισε δὲ καὶ τὰς διατεταγμένας ἐκ τῶν κοινῶν ἡμέρας δύο καὶ ἐμ πά-
σ̣αις ἐκαλλιέρησε ταῖς θεαῖς καὶ τὰς πατρίους σπονδὰς ἐπετέλεσεν·
[πολλὰ δ]ὲ καὶ ἄλλα ἐπολιτεύσατο καλὰ καὶ συμφέροντα τῆι συνόδωι καὶ
[προσεδαπάνησεν] ἐ̣κ τῶν ἰδίων ἔν τε ταῖς ἐπιμελητείαις καὶ ἱερωσύναις
[— — — — — — — προκρίνω]ν τὴν τῶν τεχνιτῶν εὔνοιαν παντὸς χρήμα-
[τος — — — — — — — — — — — — —] ο̣ὐ μόνον δὲ πρὸς τὴν σύνοδον
[— — — — — — — — — — — — — — — — —] δ̣ιακείμενος ἀποδο[χ]-
[ῆς — — ἠξιώθη — — — — — — — — — — — ἐκ τῶ]ν νόμων καὶ
[— — — — — — — — — — — — — — — — — — — — — — — —]AIMEN
[— — — — — — — — — — — — — — — — — — — — — — — — — —]",τῆι πόλει τῆι Ἀθηναίων περι νδιων ἀπαλλαγέντες το ἄνθρωποι διεξαγωγὴν τῶν μὲν παράδοσιν ἐποιήσατο θυσίας δὲ καὶ μυστήρια καὶ καὶ ἀγῶνας θυμελικούς τε καὶ σκηνικοὺς αὐτὸς ἐπιτελεῖν ἐψηφίσατο καὶ ἡ σύνοδος τῶν περὶ τὸν Διόνυσον τεχνιτῶν διὰ παντὸς αὐτῶι συναύξουσα καθ ὅσον ἐστὶ δυνατὴ τάς τε θυσίας καὶ τἄλλα πάντα τὰ ἐψηφισμένα ὑπ αὐτοῦ τοῖς τε θεοῖς καὶ τοῖς εὐεργέταις τίμια ἐψηφίσατο καὶ αὐτὴ θύειν καὶ σπένδειν τῆι Δήμητρι καὶ τῆι Κόρηι ταῖς μυστηριώτισιν ἡμέραις καὶ βωμὸν ἱδρυσαμ ένη καὶ τέμενος κατασκευάσασα ἐν Ἐλευσῖνι σπονδὰς καὶ παιᾶνας ἐπιτελεῖν ὧν ἐπισχεθέντων ἐπὶ ἔτη καὶ πλείονα καὶ τοῦ τε βωμοῦ καὶ τοῦ τεμένους ἀναιρεθέντος διὰ τὴν κοινὴν περίστασιν Φιλήμων ἐπιμελητὴς τὸ τρίτον γενόμενος ἐν τῶι ἐπὶ Αἰσχραίου ἄρχοντος ἐνιαυτῶι ἀνεκτήσατο τὰς πατρίους ταῖς θεαῖς θυσίας καὶ πρῶτος αὐτὸς θύσας ἐν Ἐ λευσῖνι τῆι Δήμητρι καὶ τῆι Κόρηι καὶ τὴν λοιπὴν δαπάνην καὶ χορηγίαν ἐπιδεξάμενος ὑπεδέξατο τὴν σύνοδον ἐκ τῶν ἰδίων προσεμέρισεν δὲ καὶ ἐκ τῶν κοινῶν εἰς ἄλλας ἡμέρας δύο καὶ ἐμ πάσαις καλλιερήσας ταῖς ἡμέραις τὰς ἐψηφισμένας ὑπὸ τῶν πατέρων σπονδὰς καὶ ἐπιχύσεις καὶ παιᾶνας ταῖς θεαῖς ἐπετέλεσεν ὧν ἀσμένως οἱ τεχνῖται λαβόντες ἀνάμνησιν παρεκάλεσαν αὐτὸν καὶ προετρέψαντο μετὰ πάσης προθυμίας προνοηθῆναι καὶ τῆς τοῦ τεμένους κατασκευῆς ὅπως ἐπὶ τῆς πατρώιας ἑστίας ἀνεμποδίστως κατ ἐνιαυτὸν ἐπιτελῶσιν τὰς θυσίας ὁ δὲ καὶ διὰ τὴν πρὸς τὰς θεὰς εὐσέβειαν καὶ διὰ τὴν πρὸς τοὺς τεχνίτας ἀνυπέρθε τον εὔνοιαν διὰ τῆς ἰδίας ἐπιμελείας ἐξ ὧν ἀνεῦρεν αὐτὸς τῆι συνόδωι προσόδων τὴν κατασκευὴν τοῦ τεμένους ἐποιήσατο καὶ τὸν ἀνειρημένον ὑπὸ τῆς περιστάσεως βωμὸν αὐτὸς πάλιν καθιδρύσατο προενοήθη δὲ ἐκτενῶς καὶ τῆς τῶν κοινῶν ἐμ πᾶσιν ἐπανορθώσεως καὶ τὸν κύκλον τῶν δανείων μεταπαρέδωκεν ἐκβαί νων ἐκ τῶν ἐπιμελειτειῶν πολλοῖς ἐπευξημένον χρήμασιν ὥστε μὴ μόνον εἰς ἃς ἀνενεώσατο τῆι Δήμητρι καὶ τῆι Κόρηι θυσίας ἀλλὰ καὶ εἰς ἑτέρας πλείονας διὰ τὴν τούτου σπουδὴν γεγονέναι τῆι συνόδωι προσόδους βιασαμένων δὲ αὐτὸν τῶν τεχνιτῶν πάλιν τὸ τέταρτον ὑπομεῖναι ἐπιμελητὴν εἰς τὸν ἐπὶ Σελεύκου ἄρχοντος ἐνιαυ τὸν πρὸς ταῖς λοιπαῖς εἰσφοραῖς καὶ χορηγίαις καὶ ἐν Ἐλευσῖνι θύσας ἔν τε τῶι ἱερῶι καὶ ἐν ὧι πρῶτος αὐτὸς κατεσκευάσατο τεμένει ἐφ οὗ ἱδρύσατο βωμοῦ τά τε θύματα καὶ τὴν λοιπὴν χορηγίαν πᾶσαν ἐπιδεξάμενος ὑπεδέξατο τὴν σύνοδον ἐκ τῶν ἰδίων μεγαλομερῶς προσεμέρισε δὲ καὶ τὰς διατεταγμένας ἐκ τῶν κοινῶν ἡμέρας δύο καὶ ἐμ πά σαις ἐκαλλιέρησε ταῖς θεαῖς καὶ τὰς πατρίους σπονδὰς ἐπετέλεσεν πολλὰ δὲ καὶ ἄλλα ἐπολιτεύσατο καλὰ καὶ συμφέροντα τῆι συνόδωι καὶ προσεδαπάνησεν ἐκ τῶν ἰδίων ἔν τε ταῖς ἐπιμελητείαις καὶ ἱερωσύναις προκρίνων τὴν τῶν τεχνιτῶν εὔνοιαν παντὸς χρήματος οὐ μόνον δὲ πρὸς τὴν σύνοδον διακείμενος ἀποδοχῆς ἠξιώθη ἐκ τῶν νόμων καὶ,ὁ πολέω ὁ ἀθηναῖος περι νδιων ἀπαλλάσσω το ἄνθρωπος διεξαγωγὴν ὁ μὲν παράδοσις ποιέω θυσία δὲ καὶ μυστήριον καὶ καὶ ἀγών θυμελικός τε καὶ σκηνικοὺς αὐτὸς ἐπιτελέω ψηφίζομαι καὶ ὁ σύνοδος ὁ περὶ τὸν διόνυσος τεχνίτης διὰ παντὸς αὐτός συναυξάνω καθ ὅσος ἐστὶ δυνατὴ ὁ τε θυσία καὶ ἄλλος πᾶς τὰ ψηφίζομαι ὑπ αὐτός ὁ τε θεάω καὶ ὁ εὐεργέτης τίμιος ψηφίζομαι καὶ αὐτὴ θύω1 καὶ σπένδω ὁ δήμητρι καὶ ὁ κόρη ὁ μυστηριώτισιν ἥμερος καὶ βωμὸν ἱδρυσαμ ένη καὶ τέμενος κατασκευάζω ἐν ἐλευσίς σπονδὰς καὶ παιάν ἐπιτελέω ὅς ἐπισχεθέντων ἐπὶ ἔτος καὶ πλείων καὶ ὁ τε βωμός καὶ ὁ τέμενος ἀναιρέω διὰ τὴν κοινὴν περίστασις φιλήμων ἐπιμελητὴς τὸ τρίτος γίγνομαι ἐν ὁ ἐπὶ αἴσχραιος ἄρχω ἐνιαυτός ἀνακτάομαι τὰς πάτριος ὁ θεά θυσία καὶ πρότερος αὐτὸς θύω1 ἐν ἐ λευσῖνι ὁ δήμητρι καὶ ὁ κόρη καὶ τὴν λοιπὴν δαπανάω καὶ χορηγία ἐπιδείκνυμι ὑποδείκνυμι τὴν σύνοδος ἐκ ὁ ἰδέω προσεμέρισεν δὲ καὶ ἐκ ὁ κοινόω εἰς ἄλλος ἥμερος δύο καὶ ἐν πάσσω καλλιερέω ὁ ἥμερος τὰς ψηφίζομαι ὑπὸ ὁ πατήρ σπονδὰς καὶ ἐπίχυσις καὶ παιάν ὁ θεά ἐπιτελέω ὅς ἄσμενος ὁ τεχνίτης λαμβάνω ἀνάμνησις παρακαλέω αὐτὸν καὶ προτρέπω μετὰ πᾶς προθυμία προνοέω καὶ ὁ ὁ τέμενος κατασκευάζω ὅπως ἐπὶ ὁ πατρῶιος ἑστιάω ἀνεμπόδιστος κατ ἐνιαυτὸν ἐπιτελέω τὰς θυσία ὁ δὲ καὶ διὰ τὴν πρὸς τὰς θεὰς εὐσέβεια καὶ διὰ τὴν πρὸς τοὺς τεχνίτης ἀνυπέρθε τον εὔνοια διὰ ὁ ἴδιος ἐπιμέλεια ἐκ ὅς ἀνευρίσκω αὐτὸς ὁ σύνοδος πρόσοδος τὴν κατασκευὴν ὁ τέμενος ποιέω καὶ τὸν ἀνάἐρῶ ὑπὸ ὁ περίστασις βωμὸν αὐτὸς πάλιν καθιδρύω προνοοῦμαι δὲ ἐκτενής καὶ ὁ ὁ κοινόω ἐν πᾶς ἐπανόρθωσις καὶ τὸν κύκλος ὁ δάνειον μετάπαραδίδωμι ἐκβαί νων ἐκ ὁ ἐπιμελειτειῶν πολύς ἐπευξημένον χρῆμα ὥστε μὴ μόνος εἰς ἃς ἀνανεόομαι ὁ δήμητρι καὶ ὁ κόρη θυσία ἀλλὰ καὶ εἰς ἕτερος πλείων διὰ τὴν οὗτος σπουδὴν γίγνομαι ὁ σύνοδος πρόσοδος βιάζω δὲ αὐτὸν ὁ τεχνίτης πάλιν τὸ τέταρτος ὑπομένω ἐπιμελητὴν εἰς τὸν ἐπὶ σέλευκος ἄρχω ἐνιαυ τὸν πρὸς ὁ λοιπός εἰσφορά καὶ χορηγία καὶ ἐν ἐλευσίς θύω1 εἰμί τε ὁ ἱερός καὶ ἐν ὅς πρότερος αὐτὸς κατασκευάζω τέμενος ἐφ ἵημι ἱδρύω βωμός ὁ τε θῦμα καὶ τὴν λοιπὴν χορηγία πᾶς ἐπιδείκνυμι ὑποδείκνυμι τὴν σύνοδος ἐκ ὁ ἰδέω μεγαλομερής πρόσμερίζω δὲ καὶ τὰς διατάσσω ἐκ ὁ κοινόω ἥμερος δύο καὶ ἐν πη σαις καλλιερέω ὁ θεά καὶ τὰς πάτριος σπονδὰς ἐπιτελέω πολλὰ δὲ καὶ ἄλλος πολιτεύω καλὰ καὶ συμφέρω ὁ σύνοδος καὶ προσεδαπάνησεν ἐκ ὁ ἰδέω εἰμί τε ὁ ἐπιμελητείαις καὶ ἱερώσυνος προκρίνω τὴν ὁ τεχνίτης εὔνοια παντὸς χρῆμα οὐ μόνος δὲ πρὸς τὴν σύνοδος διάκειμαι ἀποδοχή ἀξιόω ἐκ ὁ νόμος καὶ,2249,421
684,"col. I.1
Εὐσέβεια̣ν θ̣υγατέρα Ἀριοβαρζάνου (II)
καὶ Ἀθηναΐδος (II) τῶν ἐκ βασιλέως Ἀριοβαρζάνου (I)
Φιλορωμ̣[α]ί̣ου καὶ βασιλίσσης Ἀθηναΐδος (I) Φιλοστόργου",Εὐσέβειαν θυγατέρα Ἀριοβαρζάνου καὶ Ἀθηναΐδος τῶν ἐκ βασιλέως Ἀριοβαρζάνου Φιλορωμαίου καὶ βασιλίσσης Ἀθηναΐδος Φιλοστόργου,εὐσέβεια θυγάτηρ ἀριοβαρζάνης καὶ ἀθηναΐδος ὁ ἐκ βασιλίς ἀριοβαρζάνης φιλορωμαίου καὶ βασίλισσα ἀθηναΐδος φιλόστοργος,110,14
685,"col. II.1
Ἀθ̣ηναΐδα v θυγατέρα
Ἀριοβαρζάνου (II) καὶ Ἀθηναΐδος (II)
τῶν ἐκ βασιλέως Ἀριοβαρζάνου (I)
[Φ]ιλορωμα̣[ί]ου καὶ βασιλίσσης
Ἀθηναΐδος (I) Φιλοστόργου",Ἀθηναΐδα θυγατέρα Ἀριοβαρζάνου καὶ Ἀθηναΐδος τῶν ἐκ βασιλέως Ἀριοβαρζάνου Φιλορωμαίου καὶ βασιλίσσης Ἀθηναΐδος Φιλοστόργου,ἀθηναΐδα θυγάτηρ ἀριοβαρζάνης καὶ ἀθηναΐδος ὁ ἐκ βασιλίς ἀριοβαρζάνης φιλορωμαίου καὶ βασίλισσα ἀθηναΐδος φιλόστοργος,109,14
686,"col. III.1
Ἀθηνα[ΐδα (II) θυγατέρα βασιλέως]
Ἀριοβαρζ[άνου (I) Φιλορωμαίου]
καὶ βασιλίσσ[ης Ἀθηναΐδος (I) Φιλοστόργου]",Ἀθηναΐδα θυγατέρα βασιλέως Ἀριοβαρζάνου Φιλορωμαίου καὶ βασιλίσσης Ἀθηναΐδος Φιλοστόργου,ἀθηναΐδα θυγάτηρ βασιλίς ἀριοβαρζάνης φιλορωμαίου καὶ βασίλισσα ἀθηναΐδος φιλόστοργος,80,9
687,"col. IV.1
[Ἀριοβαρζάνην (II) υἱὸν βασιλέως]
[Ἀριοβαρζάνου (I) Φιλορωμαίου]
[καὶ βασιλίσσης Ἀθηναΐδος (I) Φιλοστόργου]",Ἀριοβαρζάνην υἱὸν βασιλέως Ἀριοβαρζάνου Φιλορωμαίου καὶ βασιλίσσης Ἀθηναΐδος Φιλοστόργου,ἀριοβαρζάνης υἱὸν βασιλίς ἀριοβαρζάνης φιλορωμαίου καὶ βασίλισσα ἀθηναΐδος φιλόστοργος,80,9
273,"Μήδειος Μηδείου Πειραιεὺς
καὶ Διφίλα Διοκλέους Μελιτέως
θυγάτηρ τὴν θυγατέρα Τιμοθέαν
μυηθεῖσαν ἀφ’ ἑστίας
Δήμητρι καὶ Κόρηι ἀνέθηκαν.",Μήδειος Μηδείου Πειραιεὺς καὶ Διφίλα Διοκλέους Μελιτέως θυγάτηρ τὴν θυγατέρα Τιμοθέαν μυηθεῖσαν ἀφ ἑστίας Δήμητρι καὶ Κόρηι ἀνέθηκαν,μήδειος μήδειος πειραιεὺς καὶ διφίλα διοκλέης μελιτεύς θυγάτηρ τὴν θυγάτηρ τιμοθέαν μυάω ἀφ ἑστιάω δήμητρι καὶ κόρη ἀνατίθημι,115,18
